Operation,RecordCount,AvgMs,StdDevMs,ThroughputOpsPerSec,Run1,Run2,Run3,Run4,Run5
"Individual INSERT",1000,140.51,66.31,7116.77,268.02,131.06,126.58,91.64,85.26
"Batch INSERT",1000,88.08,10.76,11353.77,106.01,83.23,82.51,93.65,74.99
"Individual INSERT",10000,492.37,108.77,20310.02,618.79,587.80,526.85,367.86,360.54
"Batch INSERT",10000,280.06,36.34,35706.14,349.38,248.73,281.10,265.85,255.27
"Full-Table Scan (Loans)",5000,5.53,0.53,904238.21,5.20,4.66,5.72,5.99,6.07
"Indexed Lookup (MemberID)",5000,2.25,1.66,2221813.01,1.18,0.89,3.74,4.74,0.70
"Plain Statement (string concat)",500,1013.65,214.44,493.27,1386.02,1122.53,830.68,837.55,891.49
"PreparedStatement (compiled)",500,33.08,7.46,15112.66,42.62,28.97,25.08,27.19,41.56
"Per-operation Commit",100,99.23,13.59,1007.77,124.67,93.28,88.28,101.46,88.46
"Batched Commit (all 100 ops)",100,4.13,1.40,24189.10,3.90,2.56,6.74,3.94,3.54
