Operation,RecordCount,AvgMs,StdDevMs,ThroughputOpsPerSec,Run1,Run2,Run3,Run4,Run5
"Individual INSERT",1000,52.90,23.76,18903.35,80.62,79.73,49.82,28.05,26.29
"Batch INSERT",1000,31.77,11.10,31476.53,46.87,42.83,24.25,26.68,18.22
"Individual INSERT",10000,128.29,38.13,77946.90,188.06,134.86,144.02,82.80,91.73
"Batch INSERT",10000,109.42,20.14,91390.89,131.48,98.24,86.67,135.71,95.00
"Full-Table Scan (Loans)",5000,5.58,0.79,896073.41,6.36,6.25,6.07,4.67,4.56
"Indexed Lookup (MemberID)",5000,1.15,0.23,4341709.94,1.37,1.47,1.08,0.88,0.95
"Plain Statement (string concat)",500,389.60,88.47,1283.36,550.76,386.98,393.20,309.30,307.77
"PreparedStatement (compiled)",500,7.26,3.54,68869.20,14.20,4.35,5.76,5.45,6.55
"Per-operation Commit",100,14.13,3.08,7078.06,15.59,19.56,11.92,11.76,11.81
"Batched Commit (all 100 ops)",100,2.65,2.18,37805.18,1.46,1.14,1.87,6.97,1.79
